The seed number is set to 789
loop_count=100/100000, max_score=57.861, min_score=28.7272, time=0.00431536h
loop_count=200/100000, max_score=64.7965, min_score=28.2926, time=0.00889471h
loop_count=300/100000, max_score=64.7965, min_score=28.2926, time=0.0135289h
loop_count=400/100000, max_score=66.3878, min_score=28.2926, time=0.0180939h
loop_count=500/100000, max_score=66.3878, min_score=28.2926, time=0.0225215h
loop_count=600/100000, max_score=66.3878, min_score=29.6891, time=0.0269072h
loop_count=700/100000, max_score=66.5437, min_score=35.6674, time=0.0313684h
loop_count=800/100000, max_score=67.7135, min_score=39.3516, time=0.0358274h
loop_count=900/100000, max_score=69.0634, min_score=41.8254, time=0.0405863h
loop_count=1000/100000, max_score=72.2669, min_score=43.4858, time=0.0450797h
loop_count=1100/100000, max_score=72.7679, min_score=44.8318, time=0.0497371h
loop_count=1200/100000, max_score=72.7679, min_score=45.82, time=0.0541186h
loop_count=1300/100000, max_score=74.4481, min_score=47.5379, time=0.0588791h
loop_count=1400/100000, max_score=74.8753, min_score=49.0027, time=0.0639048h
loop_count=1500/100000, max_score=74.8753, min_score=49.9631, time=0.0683274h
loop_count=1600/100000, max_score=74.8753, min_score=50.7161, time=0.0728279h
loop_count=1700/100000, max_score=74.8753, min_score=51.9904, time=0.0775324h
loop_count=1800/100000, max_score=74.8753, min_score=52.6326, time=0.0820837h
loop_count=1900/100000, max_score=74.8753, min_score=53.4052, time=0.0867223h
loop_count=2000/100000, max_score=74.8753, min_score=54.1108, time=0.0912654h
loop_count=2100/100000, max_score=74.8753, min_score=55.0125, time=0.0959917h
loop_count=2200/100000, max_score=74.8753, min_score=55.8571, time=0.100266h
loop_count=2300/100000, max_score=74.8753, min_score=56.4548, time=0.104894h
loop_count=2400/100000, max_score=74.8753, min_score=57.0868, time=0.109611h
loop_count=2500/100000, max_score=77.7108, min_score=57.7867, time=0.113984h
loop_count=2600/100000, max_score=77.7108, min_score=58.2441, time=0.118763h
loop_count=2700/100000, max_score=77.7108, min_score=58.9119, time=0.12349h
loop_count=2800/100000, max_score=77.7108, min_score=59.5192, time=0.127992h
loop_count=2900/100000, max_score=79.5569, min_score=60.0991, time=0.132547h
loop_count=3000/100000, max_score=79.5569, min_score=60.4865, time=0.137025h
loop_count=3100/100000, max_score=79.5569, min_score=60.8218, time=0.141667h
loop_count=3200/100000, max_score=79.5569, min_score=61.1796, time=0.146276h
loop_count=3300/100000, max_score=79.5569, min_score=61.5092, time=0.150675h
loop_count=3400/100000, max_score=79.5569, min_score=61.9318, time=0.155354h
loop_count=3500/100000, max_score=79.5569, min_score=62.2726, time=0.159832h
loop_count=3600/100000, max_score=79.5569, min_score=62.4544, time=0.164343h
loop_count=3700/100000, max_score=79.5569, min_score=62.7419, time=0.168602h
loop_count=3800/100000, max_score=79.5569, min_score=63.0295, time=0.17324h
loop_count=3900/100000, max_score=79.5569, min_score=63.3034, time=0.178107h
loop_count=4000/100000, max_score=79.5569, min_score=63.707, time=0.182933h
loop_count=4100/100000, max_score=79.5569, min_score=63.8674, time=0.187478h
loop_count=4200/100000, max_score=79.5569, min_score=64.2695, time=0.192273h
loop_count=4300/100000, max_score=79.5569, min_score=64.6449, time=0.197014h
loop_count=4400/100000, max_score=79.5569, min_score=64.8521, time=0.20164h
loop_count=4500/100000, max_score=79.5569, min_score=65.1744, time=0.206099h
loop_count=4600/100000, max_score=79.5569, min_score=65.6201, time=0.21075h
loop_count=4700/100000, max_score=79.5569, min_score=65.7891, time=0.215384h
loop_count=4800/100000, max_score=79.5569, min_score=66.0794, time=0.220123h
loop_count=4900/100000, max_score=79.5569, min_score=66.3274, time=0.224651h
loop_count=5000/100000, max_score=79.5569, min_score=66.4717, time=0.229301h
loop_count=5100/100000, max_score=79.5569, min_score=66.621, time=0.23388h
loop_count=5200/100000, max_score=79.5752, min_score=66.7641, time=0.238315h
loop_count=5300/100000, max_score=79.5752, min_score=67.0762, time=0.242957h
loop_count=5400/100000, max_score=81.823, min_score=67.3598, time=0.247496h
loop_count=5500/100000, max_score=81.823, min_score=67.5982, time=0.252139h
loop_count=5600/100000, max_score=81.823, min_score=67.7159, time=0.256809h
loop_count=5700/100000, max_score=81.823, min_score=67.9171, time=0.261544h
loop_count=5800/100000, max_score=81.823, min_score=68.0199, time=0.265902h
loop_count=5900/100000, max_score=81.823, min_score=68.1971, time=0.270476h
loop_count=6000/100000, max_score=81.823, min_score=68.3, time=0.274822h
loop_count=6100/100000, max_score=81.823, min_score=68.5223, time=0.27939h
loop_count=6200/100000, max_score=81.823, min_score=68.6671, time=0.283885h
loop_count=6300/100000, max_score=81.823, min_score=68.8371, time=0.288093h
loop_count=6400/100000, max_score=81.823, min_score=68.9445, time=0.292512h
loop_count=6500/100000, max_score=82.0518, min_score=69.0634, time=0.296885h
loop_count=6600/100000, max_score=82.0518, min_score=69.2784, time=0.301276h
loop_count=6700/100000, max_score=82.0518, min_score=69.3989, time=0.305623h
loop_count=6800/100000, max_score=82.0518, min_score=69.5351, time=0.310029h
loop_count=6900/100000, max_score=82.0518, min_score=69.7095, time=0.314554h
loop_count=7000/100000, max_score=82.0518, min_score=69.885, time=0.319049h
loop_count=7100/100000, max_score=82.0518, min_score=69.9683, time=0.323301h
loop_count=7200/100000, max_score=82.0518, min_score=70.0894, time=0.327815h
loop_count=7300/100000, max_score=82.0518, min_score=70.2982, time=0.332338h
loop_count=7400/100000, max_score=82.0518, min_score=70.4645, time=0.33723h
loop_count=7500/100000, max_score=82.0518, min_score=70.655, time=0.341782h
loop_count=7600/100000, max_score=82.0518, min_score=70.7854, time=0.346379h
loop_count=7700/100000, max_score=82.0518, min_score=70.9213, time=0.350969h
loop_count=7800/100000, max_score=82.0518, min_score=71.0291, time=0.355304h
loop_count=7900/100000, max_score=83.7059, min_score=71.2019, time=0.35983h
loop_count=8000/100000, max_score=83.7059, min_score=71.3445, time=0.364257h
loop_count=8100/100000, max_score=85.1373, min_score=71.594, time=0.368682h
loop_count=8200/100000, max_score=85.1373, min_score=71.8172, time=0.373258h
loop_count=8300/100000, max_score=85.1373, min_score=71.9, time=0.377748h
loop_count=8400/100000, max_score=85.1373, min_score=72.0653, time=0.382215h
loop_count=8500/100000, max_score=85.1373, min_score=72.1502, time=0.386533h
loop_count=8600/100000, max_score=85.1373, min_score=72.2561, time=0.391247h
loop_count=8700/100000, max_score=85.1373, min_score=72.3376, time=0.395608h
loop_count=8800/100000, max_score=85.1373, min_score=72.4051, time=0.400006h
loop_count=8900/100000, max_score=85.1373, min_score=72.5181, time=0.404583h
loop_count=9000/100000, max_score=85.1373, min_score=72.5909, time=0.409052h
loop_count=9100/100000, max_score=85.1373, min_score=72.6676, time=0.413429h
loop_count=9200/100000, max_score=85.1373, min_score=72.7323, time=0.418104h
loop_count=9300/100000, max_score=85.1373, min_score=72.7837, time=0.422461h
