loop_count=100/100000, max_score=62.7258, min_score=28.0862, running_time=0.00589933h, search_time=0.00419601h
loop_count=200/100000, max_score=66.4998, min_score=28.0862, running_time=0.0118902h, search_time=0.00828086h
loop_count=300/100000, max_score=68.5338, min_score=26.5635, running_time=0.0176758h, search_time=0.0119564h
loop_count=400/100000, max_score=73.0648, min_score=26.5635, running_time=0.023453h, search_time=0.0155583h
loop_count=500/100000, max_score=73.0648, min_score=26.5635, running_time=0.0291229h, search_time=0.019197h
loop_count=600/100000, max_score=74.9418, min_score=33.9012, running_time=0.0349502h, search_time=0.0228517h
loop_count=700/100000, max_score=74.9418, min_score=38.4731, running_time=0.0409818h, search_time=0.0265019h
loop_count=800/100000, max_score=74.9418, min_score=40.935, running_time=0.0470738h, search_time=0.030137h
loop_count=900/100000, max_score=74.9418, min_score=43.4636, running_time=0.0535556h, search_time=0.0340617h
loop_count=1000/100000, max_score=74.9418, min_score=45.6362, running_time=0.0600877h, search_time=0.0378156h
loop_count=1100/100000, max_score=74.9418, min_score=47.6619, running_time=0.0670098h, search_time=0.0417203h
loop_count=1200/100000, max_score=75.3015, min_score=49.165, running_time=0.0741657h, search_time=0.0455797h
loop_count=1300/100000, max_score=75.3015, min_score=50.6165, running_time=0.081317h, search_time=0.0494593h
loop_count=1400/100000, max_score=75.3015, min_score=52.2071, running_time=0.0884059h, search_time=0.0535807h
loop_count=1500/100000, max_score=75.3015, min_score=53.5518, running_time=0.0959608h, search_time=0.0576637h
loop_count=1600/100000, max_score=75.3015, min_score=54.3811, running_time=0.103395h, search_time=0.0615611h
loop_count=1700/100000, max_score=75.3015, min_score=55.4068, running_time=0.110914h, search_time=0.0655844h
loop_count=1800/100000, max_score=75.3015, min_score=56.2969, running_time=0.119177h, search_time=0.0699159h
loop_count=1900/100000, max_score=75.3015, min_score=57.5267, running_time=0.127191h, search_time=0.0740165h
loop_count=2000/100000, max_score=75.3015, min_score=58.6434, running_time=0.135282h, search_time=0.0781968h
loop_count=2100/100000, max_score=75.7648, min_score=59.4203, running_time=0.144064h, search_time=0.0823651h
loop_count=2200/100000, max_score=75.7648, min_score=59.9902, running_time=0.152724h, search_time=0.0866292h
loop_count=2300/100000, max_score=75.7648, min_score=60.9008, running_time=0.161219h, search_time=0.0908036h
loop_count=2400/100000, max_score=76.8237, min_score=61.6112, running_time=0.17033h, search_time=0.0949878h
loop_count=2500/100000, max_score=79.644, min_score=62.1449, running_time=0.179044h, search_time=0.0992225h
loop_count=2600/100000, max_score=79.644, min_score=62.6027, running_time=0.18835h, search_time=0.103408h
loop_count=2700/100000, max_score=79.644, min_score=63.2806, running_time=0.197923h, search_time=0.107784h
loop_count=2800/100000, max_score=79.644, min_score=63.7403, running_time=0.20722h, search_time=0.112137h
loop_count=2900/100000, max_score=79.644, min_score=64.3196, running_time=0.216809h, search_time=0.1164h
loop_count=3000/100000, max_score=79.8105, min_score=64.9592, running_time=0.226118h, search_time=0.120577h
