loop_count=10/1000, max_score=451.324, min_score=291.166, time=0.0018977h
loop_count=20/1000, max_score=451.324, min_score=291.166, time=0.00346462h
loop_count=30/1000, max_score=685.659, min_score=274.09, time=0.00517962h
loop_count=40/1000, max_score=685.659, min_score=274.09, time=0.0067974h
loop_count=50/1000, max_score=685.659, min_score=271.166, time=0.00848354h
loop_count=60/1000, max_score=685.659, min_score=271.166, time=0.00997705h
loop_count=70/1000, max_score=685.659, min_score=271.166, time=0.0115679h
loop_count=80/1000, max_score=685.659, min_score=271.166, time=0.0130681h
loop_count=90/1000, max_score=685.659, min_score=271.166, time=0.0146173h
loop_count=100/1000, max_score=838.403, min_score=271.166, time=0.016385h
loop_count=110/1000, max_score=838.403, min_score=271.166, time=0.0178167h
loop_count=120/1000, max_score=838.403, min_score=271.166, time=0.0194952h
loop_count=130/1000, max_score=838.403, min_score=271.166, time=0.020999h
loop_count=140/1000, max_score=838.403, min_score=271.166, time=0.0225406h
loop_count=150/1000, max_score=838.403, min_score=271.166, time=0.0239896h
loop_count=160/1000, max_score=838.403, min_score=271.166, time=0.0249793h
loop_count=170/1000, max_score=838.403, min_score=261.325, time=0.026424h
loop_count=180/1000, max_score=838.403, min_score=261.325, time=0.028028h
loop_count=190/1000, max_score=838.403, min_score=261.325, time=0.0293433h
loop_count=200/1000, max_score=838.403, min_score=261.325, time=0.0309598h
loop_count=210/1000, max_score=894.135, min_score=261.325, time=0.0324967h
loop_count=220/1000, max_score=894.135, min_score=261.325, time=0.0338701h
loop_count=230/1000, max_score=894.135, min_score=261.325, time=0.0352934h
loop_count=240/1000, max_score=894.135, min_score=261.325, time=0.036746h
loop_count=250/1000, max_score=894.135, min_score=261.325, time=0.0382042h
loop_count=260/1000, max_score=894.135, min_score=261.325, time=0.0395898h
loop_count=270/1000, max_score=894.135, min_score=261.325, time=0.0405257h
loop_count=280/1000, max_score=894.135, min_score=261.325, time=0.0418315h
loop_count=290/1000, max_score=894.135, min_score=261.325, time=0.0431395h
loop_count=300/1000, max_score=894.135, min_score=261.325, time=0.0442433h
loop_count=310/1000, max_score=894.135, min_score=261.325, time=0.0457208h
loop_count=320/1000, max_score=894.135, min_score=261.325, time=0.0470578h
loop_count=330/1000, max_score=894.135, min_score=261.325, time=0.0485667h
loop_count=340/1000, max_score=894.135, min_score=261.325, time=0.0500747h
loop_count=350/1000, max_score=894.135, min_score=261.325, time=0.0516842h
loop_count=360/1000, max_score=894.135, min_score=261.325, time=0.0529834h
loop_count=370/1000, max_score=894.135, min_score=261.325, time=0.0539816h
loop_count=380/1000, max_score=894.135, min_score=261.325, time=0.0551934h
loop_count=390/1000, max_score=894.135, min_score=261.325, time=0.0565177h
loop_count=400/1000, max_score=894.135, min_score=261.325, time=0.0582072h
loop_count=410/1000, max_score=894.135, min_score=261.325, time=0.0597384h
loop_count=420/1000, max_score=894.135, min_score=261.325, time=0.0610382h
loop_count=430/1000, max_score=894.135, min_score=261.325, time=0.0623241h
loop_count=440/1000, max_score=894.135, min_score=261.325, time=0.0633739h
loop_count=450/1000, max_score=894.135, min_score=261.325, time=0.0649545h
loop_count=460/1000, max_score=894.135, min_score=261.325, time=0.0665433h
loop_count=470/1000, max_score=894.135, min_score=261.325, time=0.0675247h
loop_count=480/1000, max_score=894.135, min_score=261.325, time=0.0689824h
loop_count=490/1000, max_score=894.135, min_score=261.325, time=0.0704806h
loop_count=500/1000, max_score=894.135, min_score=261.325, time=0.0722458h
loop_count=510/1000, max_score=894.135, min_score=261.325, time=0.0734028h
loop_count=520/1000, max_score=894.135, min_score=261.325, time=0.0749564h
