The seed number is set to 456
loop_count=100/100000, max_score=690.967, min_score=279.233, time=0.0102468h
loop_count=200/100000, max_score=783.995, min_score=279.233, time=0.0207192h
loop_count=300/100000, max_score=866.127, min_score=279.233, time=0.0313773h
loop_count=400/100000, max_score=866.127, min_score=279.233, time=0.0417754h
loop_count=500/100000, max_score=866.127, min_score=279.233, time=0.0512727h
loop_count=600/100000, max_score=866.127, min_score=279.233, time=0.0617087h
loop_count=700/100000, max_score=866.127, min_score=374.599, time=0.0712476h
loop_count=800/100000, max_score=866.127, min_score=424.955, time=0.0818468h
loop_count=900/100000, max_score=866.127, min_score=470.55, time=0.092567h
loop_count=1000/100000, max_score=866.127, min_score=495.725, time=0.102713h
loop_count=1100/100000, max_score=866.127, min_score=519.852, time=0.113034h
loop_count=1200/100000, max_score=866.127, min_score=539.34, time=0.121835h
loop_count=1300/100000, max_score=866.127, min_score=565.887, time=0.1328h
loop_count=1400/100000, max_score=866.127, min_score=582.635, time=0.143444h
loop_count=1500/100000, max_score=866.127, min_score=596.426, time=0.152982h
loop_count=1600/100000, max_score=866.127, min_score=611.765, time=0.163385h
loop_count=1700/100000, max_score=866.127, min_score=627.156, time=0.172967h
loop_count=1800/100000, max_score=866.127, min_score=639.474, time=0.183598h
loop_count=1900/100000, max_score=868.727, min_score=652.955, time=0.193623h
loop_count=2000/100000, max_score=868.727, min_score=664.129, time=0.20304h
loop_count=2100/100000, max_score=868.727, min_score=675.392, time=0.212023h
loop_count=2200/100000, max_score=868.727, min_score=684.052, time=0.222392h
loop_count=2300/100000, max_score=868.727, min_score=690.967, time=0.230833h
loop_count=2400/100000, max_score=868.727, min_score=696.54, time=0.238862h
loop_count=2500/100000, max_score=868.727, min_score=701.435, time=0.247468h
loop_count=2600/100000, max_score=868.727, min_score=710.991, time=0.256168h
loop_count=2700/100000, max_score=868.727, min_score=717.761, time=0.266222h
loop_count=2800/100000, max_score=876.392, min_score=722.425, time=0.276299h
loop_count=2900/100000, max_score=876.392, min_score=726.574, time=0.285448h
loop_count=3000/100000, max_score=878.81, min_score=731.268, time=0.29426h
loop_count=3100/100000, max_score=879.114, min_score=735.256, time=0.303143h
loop_count=3200/100000, max_score=879.114, min_score=740.772, time=0.311418h
loop_count=3300/100000, max_score=879.114, min_score=744.545, time=0.319444h
loop_count=3400/100000, max_score=879.114, min_score=747.102, time=0.326945h
loop_count=3500/100000, max_score=879.114, min_score=750.597, time=0.335285h
loop_count=3600/100000, max_score=879.114, min_score=752.082, time=0.343191h
loop_count=3700/100000, max_score=879.114, min_score=754.73, time=0.351237h
loop_count=3800/100000, max_score=879.114, min_score=756.728, time=0.359245h
loop_count=3900/100000, max_score=879.114, min_score=759.161, time=0.366825h
loop_count=4000/100000, max_score=879.114, min_score=761.429, time=0.375927h
loop_count=4100/100000, max_score=879.114, min_score=763.752, time=0.384232h
loop_count=4200/100000, max_score=879.114, min_score=765.773, time=0.3911h
loop_count=4300/100000, max_score=879.114, min_score=767.797, time=0.398891h
loop_count=4400/100000, max_score=879.114, min_score=768.922, time=0.405178h
loop_count=4500/100000, max_score=882.785, min_score=771.349, time=0.412371h
loop_count=4600/100000, max_score=882.785, min_score=774.593, time=0.420835h
loop_count=4700/100000, max_score=882.785, min_score=777.058, time=0.427875h
loop_count=4800/100000, max_score=882.785, min_score=779.431, time=0.434746h
loop_count=4900/100000, max_score=882.785, min_score=781.569, time=0.441814h
loop_count=5000/100000, max_score=882.785, min_score=783.509, time=0.449142h
loop_count=5100/100000, max_score=882.785, min_score=786.254, time=0.457267h
loop_count=5200/100000, max_score=895.242, min_score=788.169, time=0.464469h
loop_count=5300/100000, max_score=895.242, min_score=789.854, time=0.472085h
loop_count=5400/100000, max_score=895.242, min_score=791.873, time=0.478987h
loop_count=5500/100000, max_score=895.242, min_score=793.395, time=0.487682h
loop_count=5600/100000, max_score=895.242, min_score=795.744, time=0.498751h
loop_count=5700/100000, max_score=895.242, min_score=797.95, time=0.50953h
loop_count=5800/100000, max_score=895.242, min_score=800.41, time=0.521864h
loop_count=5900/100000, max_score=895.242, min_score=801.086, time=0.531432h
loop_count=6000/100000, max_score=895.242, min_score=802.745, time=0.541754h
loop_count=6100/100000, max_score=895.242, min_score=804.384, time=0.552886h
loop_count=6200/100000, max_score=895.242, min_score=805.815, time=0.563087h
loop_count=6300/100000, max_score=895.242, min_score=807.409, time=0.574386h
loop_count=6400/100000, max_score=895.242, min_score=811.068, time=0.586792h
loop_count=6500/100000, max_score=895.242, min_score=813.379, time=0.59912h
loop_count=6600/100000, max_score=895.242, min_score=814.699, time=0.60954h
loop_count=6700/100000, max_score=895.242, min_score=815.825, time=0.617377h
loop_count=6800/100000, max_score=895.242, min_score=817.371, time=0.624394h
loop_count=6900/100000, max_score=895.242, min_score=818.6, time=0.631362h
loop_count=7000/100000, max_score=895.242, min_score=819.447, time=0.638093h
loop_count=7100/100000, max_score=895.242, min_score=820.918, time=0.646056h
loop_count=7200/100000, max_score=895.242, min_score=821.756, time=0.653085h
loop_count=7300/100000, max_score=895.242, min_score=823.274, time=0.661366h
loop_count=7400/100000, max_score=895.242, min_score=824.295, time=0.668201h
loop_count=7500/100000, max_score=900.431, min_score=825.602, time=0.675887h
loop_count=7600/100000, max_score=900.431, min_score=827.208, time=0.684745h
loop_count=7700/100000, max_score=900.431, min_score=828.238, time=0.69945h
loop_count=7800/100000, max_score=900.431, min_score=829.153, time=0.711977h
loop_count=7900/100000, max_score=900.431, min_score=830.585, time=0.727058h
loop_count=8000/100000, max_score=900.431, min_score=832.067, time=0.740414h
loop_count=8100/100000, max_score=900.431, min_score=833.498, time=0.751607h
loop_count=8200/100000, max_score=910.605, min_score=834.668, time=0.766282h
loop_count=8300/100000, max_score=910.605, min_score=835.726, time=0.77942h
loop_count=8400/100000, max_score=910.605, min_score=836.881, time=0.792666h
loop_count=8500/100000, max_score=910.605, min_score=837.664, time=0.802983h
loop_count=8600/100000, max_score=910.605, min_score=838.932, time=0.812649h
loop_count=8700/100000, max_score=910.605, min_score=839.683, time=0.820814h
loop_count=8800/100000, max_score=910.605, min_score=840.796, time=0.830727h
loop_count=8900/100000, max_score=910.605, min_score=841.711, time=0.839909h
loop_count=9000/100000, max_score=910.605, min_score=842.235, time=0.84773h
loop_count=9100/100000, max_score=910.605, min_score=842.976, time=0.855838h
loop_count=9200/100000, max_score=910.605, min_score=843.548, time=0.865449h
loop_count=9300/100000, max_score=910.605, min_score=844.37, time=0.875084h
loop_count=9400/100000, max_score=910.605, min_score=845.25, time=0.883712h
loop_count=9500/100000, max_score=910.605, min_score=846.306, time=0.893841h
loop_count=9600/100000, max_score=910.605, min_score=847.18, time=0.902165h
loop_count=9700/100000, max_score=910.605, min_score=847.774, time=0.911276h
loop_count=9800/100000, max_score=910.605, min_score=848.576, time=0.920519h
loop_count=9900/100000, max_score=910.605, min_score=849.444, time=0.929739h
loop_count=10000/100000, max_score=910.605, min_score=850.372, time=0.93966h
loop_count=10100/100000, max_score=910.605, min_score=850.86, time=0.949005h
loop_count=10200/100000, max_score=910.605, min_score=851.453, time=0.9579h
loop_count=10300/100000, max_score=910.605, min_score=852.435, time=0.96752h
loop_count=10400/100000, max_score=910.605, min_score=853.026, time=0.976724h
loop_count=10500/100000, max_score=910.605, min_score=853.57, time=0.985705h
loop_count=10600/100000, max_score=910.605, min_score=853.886, time=0.99372h
loop_count=10700/100000, max_score=910.605, min_score=854.399, time=1.00206h
loop_count=10800/100000, max_score=910.605, min_score=854.759, time=1.01082h
loop_count=10900/100000, max_score=910.605, min_score=855.41, time=1.0197h
loop_count=11000/100000, max_score=912.58, min_score=856.099, time=1.02937h
loop_count=11100/100000, max_score=912.58, min_score=856.651, time=1.03748h
loop_count=11200/100000, max_score=912.58, min_score=857.21, time=1.04606h
loop_count=11300/100000, max_score=919.322, min_score=857.583, time=1.05423h
loop_count=11400/100000, max_score=919.322, min_score=858.211, time=1.06298h
loop_count=11500/100000, max_score=919.322, min_score=858.579, time=1.07178h
loop_count=11600/100000, max_score=919.322, min_score=859.117, time=1.08107h
loop_count=11700/100000, max_score=919.322, min_score=859.514, time=1.08961h
loop_count=11800/100000, max_score=919.322, min_score=859.837, time=1.09886h
loop_count=11900/100000, max_score=919.322, min_score=860.25, time=1.10819h
loop_count=12000/100000, max_score=919.322, min_score=860.534, time=1.11812h
loop_count=12100/100000, max_score=919.322, min_score=860.852, time=1.12752h
loop_count=12200/100000, max_score=919.322, min_score=861.103, time=1.13618h
loop_count=12300/100000, max_score=919.322, min_score=861.636, time=1.14459h
loop_count=12400/100000, max_score=919.322, min_score=861.935, time=1.15356h
loop_count=12500/100000, max_score=919.322, min_score=862.266, time=1.16198h
loop_count=12600/100000, max_score=919.322, min_score=862.673, time=1.16862h
loop_count=12700/100000, max_score=919.322, min_score=862.907, time=1.17515h
loop_count=12800/100000, max_score=919.322, min_score=863.513, time=1.18333h
loop_count=12900/100000, max_score=919.322, min_score=863.777, time=1.19059h
loop_count=13000/100000, max_score=919.322, min_score=864.128, time=1.19639h
loop_count=13100/100000, max_score=919.322, min_score=864.641, time=1.203h
loop_count=13200/100000, max_score=927.748, min_score=864.724, time=1.2089h
loop_count=13300/100000, max_score=927.748, min_score=864.974, time=1.21678h
loop_count=13400/100000, max_score=927.748, min_score=865.468, time=1.22216h
loop_count=13500/100000, max_score=927.748, min_score=865.662, time=1.22932h
loop_count=13600/100000, max_score=927.748, min_score=866.07, time=1.23612h
loop_count=13700/100000, max_score=927.748, min_score=866.375, time=1.24388h
loop_count=13800/100000, max_score=927.748, min_score=866.753, time=1.25054h
loop_count=13900/100000, max_score=927.748, min_score=867.286, time=1.25766h
loop_count=14000/100000, max_score=927.748, min_score=867.435, time=1.26327h
loop_count=14100/100000, max_score=927.748, min_score=867.772, time=1.27055h
loop_count=14200/100000, max_score=927.748, min_score=868.211, time=1.27733h
loop_count=14300/100000, max_score=927.748, min_score=868.525, time=1.28521h
loop_count=14400/100000, max_score=927.748, min_score=868.87, time=1.2925h
loop_count=14500/100000, max_score=927.748, min_score=869.121, time=1.29885h
loop_count=14600/100000, max_score=927.748, min_score=869.591, time=1.30652h
loop_count=14700/100000, max_score=927.748, min_score=869.76, time=1.31304h
loop_count=14800/100000, max_score=927.748, min_score=870.138, time=1.32064h
loop_count=14900/100000, max_score=927.748, min_score=870.649, time=1.32759h
loop_count=15000/100000, max_score=927.748, min_score=870.986, time=1.33373h
loop_count=15100/100000, max_score=927.748, min_score=871.364, time=1.34058h
loop_count=15200/100000, max_score=927.748, min_score=871.483, time=1.34612h
loop_count=15300/100000, max_score=927.748, min_score=872.046, time=1.35426h
loop_count=15400/100000, max_score=927.748, min_score=872.163, time=1.36122h
loop_count=15500/100000, max_score=927.748, min_score=872.569, time=1.36916h
