loop_count=100/100000, max_score=803.3, min_score=259.791, running_time=0.0157416h, search_time=0.0140009h
loop_count=200/100000, max_score=813.46, min_score=259.791, running_time=0.029919h, search_time=0.0264477h
loop_count=300/100000, max_score=816.779, min_score=259.791, running_time=0.0440202h, search_time=0.0385663h
loop_count=400/100000, max_score=816.779, min_score=254.973, running_time=0.0574701h, search_time=0.0501913h
loop_count=500/100000, max_score=816.779, min_score=254.973, running_time=0.0712211h, search_time=0.0618451h
loop_count=600/100000, max_score=816.779, min_score=381.547, running_time=0.085394h, search_time=0.0735451h
loop_count=700/100000, max_score=816.779, min_score=433.986, running_time=0.0994997h, search_time=0.0853479h
loop_count=800/100000, max_score=816.779, min_score=484.28, running_time=0.114166h, search_time=0.0975778h
loop_count=900/100000, max_score=819.041, min_score=518.464, running_time=0.129046h, search_time=0.110007h
loop_count=1000/100000, max_score=829.209, min_score=547.162, running_time=0.143661h, search_time=0.12191h
loop_count=1100/100000, max_score=840.203, min_score=575.576, running_time=0.160434h, search_time=0.135192h
loop_count=1200/100000, max_score=850.573, min_score=602.414, running_time=0.17674h, search_time=0.148255h
loop_count=1300/100000, max_score=850.573, min_score=626.603, running_time=0.192878h, search_time=0.161425h
loop_count=1400/100000, max_score=873.579, min_score=646.763, running_time=0.209755h, search_time=0.17477h
loop_count=1500/100000, max_score=873.579, min_score=666.474, running_time=0.226743h, search_time=0.187666h
loop_count=1600/100000, max_score=873.579, min_score=682.833, running_time=0.243126h, search_time=0.200718h
loop_count=1700/100000, max_score=873.579, min_score=699.067, running_time=0.260044h, search_time=0.213782h
loop_count=1800/100000, max_score=873.579, min_score=711.349, running_time=0.276818h, search_time=0.226423h
loop_count=1900/100000, max_score=873.579, min_score=717.082, running_time=0.294025h, search_time=0.23954h
loop_count=2000/100000, max_score=888.69, min_score=724.818, running_time=0.311895h, search_time=0.252679h
loop_count=2100/100000, max_score=888.69, min_score=732.247, running_time=0.329754h, search_time=0.265864h
loop_count=2200/100000, max_score=888.69, min_score=745.702, running_time=0.346869h, search_time=0.27926h
loop_count=2300/100000, max_score=888.69, min_score=754.692, running_time=0.365084h, search_time=0.29259h
loop_count=2400/100000, max_score=897.498, min_score=762.175, running_time=0.384078h, search_time=0.306175h
loop_count=2500/100000, max_score=897.498, min_score=767.947, running_time=0.401785h, search_time=0.318797h
loop_count=2600/100000, max_score=897.498, min_score=774.364, running_time=0.420121h, search_time=0.332389h
loop_count=2700/100000, max_score=897.498, min_score=778.399, running_time=0.43765h, search_time=0.345298h
loop_count=2800/100000, max_score=897.498, min_score=784.81, running_time=0.456299h, search_time=0.358973h
loop_count=2900/100000, max_score=897.498, min_score=789.055, running_time=0.474302h, search_time=0.372481h
loop_count=3000/100000, max_score=897.498, min_score=793.164, running_time=0.492671h, search_time=0.385958h
loop_count=3100/100000, max_score=915.897, min_score=797.859, running_time=0.511106h, search_time=0.399332h
loop_count=3200/100000, max_score=915.897, min_score=802.209, running_time=0.530713h, search_time=0.412868h
loop_count=3300/100000, max_score=915.897, min_score=806.082, running_time=0.550952h, search_time=0.426943h
loop_count=3400/100000, max_score=915.897, min_score=808.87, running_time=0.570484h, search_time=0.440524h
loop_count=3500/100000, max_score=915.897, min_score=811.625, running_time=0.589322h, search_time=0.454015h
loop_count=3600/100000, max_score=915.897, min_score=813.95, running_time=0.607621h, search_time=0.467159h
loop_count=3700/100000, max_score=915.897, min_score=816.916, running_time=0.626226h, search_time=0.480622h
loop_count=3800/100000, max_score=915.897, min_score=818.496, running_time=0.645457h, search_time=0.49413h
loop_count=3900/100000, max_score=915.897, min_score=821.143, running_time=0.664315h, search_time=0.507667h
loop_count=4000/100000, max_score=915.897, min_score=824.291, running_time=0.683148h, search_time=0.521189h
loop_count=4100/100000, max_score=915.897, min_score=826.31, running_time=0.703042h, search_time=0.534667h
loop_count=4200/100000, max_score=915.897, min_score=828.321, running_time=0.722732h, search_time=0.548305h
loop_count=4300/100000, max_score=915.897, min_score=830.525, running_time=0.74267h, search_time=0.561748h
loop_count=4400/100000, max_score=915.897, min_score=832.479, running_time=0.761744h, search_time=0.57505h
