loop_count=10/100000, max_score=401.902, min_score=289.778, time=0.00150534h
loop_count=20/100000, max_score=557.771, min_score=289.778, time=0.00318315h
loop_count=30/100000, max_score=561.351, min_score=288.367, time=0.00474525h
loop_count=40/100000, max_score=561.351, min_score=288.367, time=0.00616844h
loop_count=50/100000, max_score=593.364, min_score=288.367, time=0.00725885h
loop_count=60/100000, max_score=609.279, min_score=288.367, time=0.00858191h
loop_count=70/100000, max_score=626.105, min_score=288.367, time=0.00998331h
loop_count=80/100000, max_score=626.105, min_score=288.367, time=0.0114876h
loop_count=90/100000, max_score=626.105, min_score=288.367, time=0.0128134h
loop_count=100/100000, max_score=633.906, min_score=288.367, time=0.0140293h
loop_count=110/100000, max_score=654.759, min_score=288.367, time=0.0156836h
loop_count=120/100000, max_score=654.759, min_score=288.367, time=0.0169038h
loop_count=130/100000, max_score=654.759, min_score=288.367, time=0.0179555h
loop_count=140/100000, max_score=654.759, min_score=288.367, time=0.019093h
loop_count=150/100000, max_score=654.759, min_score=288.367, time=0.0204667h
loop_count=160/100000, max_score=654.759, min_score=288.367, time=0.0218324h
loop_count=170/100000, max_score=654.759, min_score=288.367, time=0.0229532h
loop_count=180/100000, max_score=688.774, min_score=288.367, time=0.0242624h
loop_count=190/100000, max_score=688.774, min_score=288.367, time=0.0251853h
loop_count=200/100000, max_score=688.774, min_score=288.367, time=0.0265482h
loop_count=210/100000, max_score=700.09, min_score=288.367, time=0.0281242h
loop_count=220/100000, max_score=700.09, min_score=288.367, time=0.0297314h
loop_count=230/100000, max_score=700.09, min_score=288.367, time=0.0315347h
loop_count=240/100000, max_score=700.09, min_score=288.367, time=0.0329774h
loop_count=250/100000, max_score=700.09, min_score=288.367, time=0.0345665h
loop_count=260/100000, max_score=700.09, min_score=288.367, time=0.0362873h
loop_count=270/100000, max_score=725.511, min_score=288.367, time=0.0378312h
loop_count=280/100000, max_score=725.511, min_score=288.367, time=0.039364h
loop_count=290/100000, max_score=725.511, min_score=288.367, time=0.040758h
loop_count=300/100000, max_score=725.511, min_score=288.367, time=0.042567h
loop_count=310/100000, max_score=725.511, min_score=288.367, time=0.0441202h
loop_count=320/100000, max_score=725.511, min_score=288.367, time=0.0456844h
loop_count=330/100000, max_score=725.511, min_score=288.367, time=0.0470043h
loop_count=340/100000, max_score=725.511, min_score=288.367, time=0.048855h
loop_count=350/100000, max_score=725.511, min_score=288.367, time=0.0500418h
loop_count=360/100000, max_score=729.638, min_score=288.367, time=0.0516985h
loop_count=370/100000, max_score=751.476, min_score=288.367, time=0.0531017h
loop_count=380/100000, max_score=808.717, min_score=288.367, time=0.0544918h
loop_count=390/100000, max_score=808.717, min_score=288.367, time=0.0556853h
loop_count=400/100000, max_score=808.717, min_score=288.367, time=0.0573282h
loop_count=410/100000, max_score=808.717, min_score=288.367, time=0.0585501h
loop_count=420/100000, max_score=808.717, min_score=288.367, time=0.0598426h
loop_count=430/100000, max_score=808.717, min_score=288.367, time=0.0610057h
loop_count=440/100000, max_score=808.717, min_score=288.367, time=0.0626531h
loop_count=450/100000, max_score=808.717, min_score=288.367, time=0.0639521h
loop_count=460/100000, max_score=808.717, min_score=288.367, time=0.06517h
loop_count=470/100000, max_score=808.717, min_score=288.367, time=0.0667465h
loop_count=480/100000, max_score=808.717, min_score=278.021, time=0.0684072h
loop_count=490/100000, max_score=808.717, min_score=278.021, time=0.0693167h
loop_count=500/100000, max_score=808.717, min_score=278.021, time=0.0704052h
loop_count=510/100000, max_score=808.717, min_score=278.021, time=0.0719165h
loop_count=520/100000, max_score=808.717, min_score=278.021, time=0.0732838h
loop_count=530/100000, max_score=808.717, min_score=278.021, time=0.0745443h
loop_count=540/100000, max_score=808.717, min_score=278.021, time=0.0758453h
loop_count=550/100000, max_score=808.717, min_score=278.021, time=0.0772513h
loop_count=560/100000, max_score=808.717, min_score=278.021, time=0.0782654h
loop_count=570/100000, max_score=829.979, min_score=278.021, time=0.0792832h
loop_count=580/100000, max_score=829.979, min_score=278.021, time=0.0804525h
loop_count=590/100000, max_score=829.979, min_score=278.021, time=0.0818526h
loop_count=600/100000, max_score=829.979, min_score=278.021, time=0.0829362h
loop_count=610/100000, max_score=829.979, min_score=293.448, time=0.084214h
loop_count=620/100000, max_score=829.979, min_score=299.157, time=0.0856073h
loop_count=630/100000, max_score=829.979, min_score=304.708, time=0.0867894h
loop_count=640/100000, max_score=829.979, min_score=313.656, time=0.0877256h
loop_count=650/100000, max_score=829.979, min_score=321.583, time=0.089397h
loop_count=660/100000, max_score=829.979, min_score=327.285, time=0.090916h
loop_count=670/100000, max_score=829.979, min_score=332.357, time=0.0921852h
loop_count=680/100000, max_score=829.979, min_score=337.591, time=0.0934198h
loop_count=690/100000, max_score=829.979, min_score=342.607, time=0.0947986h
loop_count=700/100000, max_score=829.979, min_score=346.427, time=0.0960994h
loop_count=710/100000, max_score=829.979, min_score=353.121, time=0.0972316h
loop_count=720/100000, max_score=829.979, min_score=357.67, time=0.0981946h
loop_count=730/100000, max_score=829.979, min_score=362.634, time=0.0993727h
loop_count=740/100000, max_score=829.979, min_score=370.565, time=0.100833h
loop_count=750/100000, max_score=829.979, min_score=375.381, time=0.102286h
loop_count=760/100000, max_score=829.979, min_score=379.51, time=0.103843h
loop_count=770/100000, max_score=829.979, min_score=386.955, time=0.105569h
loop_count=780/100000, max_score=829.979, min_score=390.153, time=0.106367h
loop_count=790/100000, max_score=829.979, min_score=394.047, time=0.107763h
loop_count=800/100000, max_score=829.979, min_score=398.121, time=0.109545h
loop_count=810/100000, max_score=829.979, min_score=402.712, time=0.111142h
loop_count=820/100000, max_score=829.979, min_score=405.548, time=0.112319h
loop_count=830/100000, max_score=829.979, min_score=410.522, time=0.113418h
loop_count=840/100000, max_score=829.979, min_score=413.552, time=0.114778h
loop_count=850/100000, max_score=829.979, min_score=417.658, time=0.11611h
loop_count=860/100000, max_score=829.979, min_score=420.861, time=0.117556h
loop_count=870/100000, max_score=829.979, min_score=424.138, time=0.118819h
loop_count=880/100000, max_score=829.979, min_score=426.465, time=0.11996h
loop_count=890/100000, max_score=829.979, min_score= 430, time=0.121777h
loop_count=900/100000, max_score=829.979, min_score=432.111, time=0.122923h
loop_count=910/100000, max_score=829.979, min_score=434.668, time=0.124034h
loop_count=920/100000, max_score=829.979, min_score=438.62, time=0.125511h
loop_count=930/100000, max_score=829.979, min_score=441.68, time=0.126965h
loop_count=940/100000, max_score=829.979, min_score=443.439, time=0.127825h
loop_count=950/100000, max_score=829.979, min_score=449.286, time=0.129676h
loop_count=960/100000, max_score=829.979, min_score=453.72, time=0.131428h
loop_count=970/100000, max_score=843.214, min_score=458.789, time=0.132911h
loop_count=980/100000, max_score=843.214, min_score=463.492, time=0.134286h
loop_count=990/100000, max_score=843.214, min_score=465.206, time=0.135633h
loop_count=1000/100000, max_score=843.214, min_score=466.837, time=0.136832h
loop_count=1010/100000, max_score=843.214, min_score=469.155, time=0.137998h
loop_count=1020/100000, max_score=843.214, min_score=475.069, time=0.139511h
loop_count=1030/100000, max_score=843.214, min_score=478.071, time=0.141158h
loop_count=1040/100000, max_score=843.214, min_score=480.091, time=0.142809h
loop_count=1050/100000, max_score=843.214, min_score=482.444, time=0.144025h
loop_count=1060/100000, max_score=843.214, min_score=484.41, time=0.145452h
loop_count=1070/100000, max_score=843.214, min_score=489.559, time=0.146913h
loop_count=1080/100000, max_score=843.214, min_score=492.21, time=0.148104h
loop_count=1090/100000, max_score=843.214, min_score=494.572, time=0.149392h
loop_count=1100/100000, max_score=843.214, min_score=497.788, time=0.151532h
loop_count=1110/100000, max_score=843.214, min_score=500.915, time=0.152985h
loop_count=1120/100000, max_score=843.214, min_score=504.856, time=0.153958h
loop_count=1130/100000, max_score=843.214, min_score=507.427, time=0.155776h
loop_count=1140/100000, max_score=843.214, min_score=509.519, time=0.157153h
loop_count=1150/100000, max_score=843.214, min_score=512.843, time=0.158793h
loop_count=1160/100000, max_score=843.214, min_score=515.233, time=0.160074h
loop_count=1170/100000, max_score=843.214, min_score=519.29, time=0.161489h
loop_count=1180/100000, max_score=843.214, min_score=520.965, time=0.163h
